Designator,Mid X,Mid Y,Rotation,Layer
C101,53.73,83.58,270.0,top
C102,75.0,90.0,0.0,top
C103,138.7,89.4,180.0,top
C104,78.2,88.7,180.0,top
D101,80.0,75.0,0.0,top
D102,45.0,40.0,270.0,top
D103,80.0,65.0,0.0,top
D104,55.0,40.0,270.0,top
D105,80.0,55.0,0.0,top
D106,65.0,40.0,270.0,top
D107,80.0,45.0,0.0,top
D108,75.0,40.0,270.0,top
D109,80.0,35.0,0.0,top
D110,85.0,40.0,270.0,top
D111,80.0,25.0,0.0,top
D112,95.0,40.0,270.0,top
D113,80.0,15.0,0.0,top
D114,105.0,40.0,270.0,top
D115,80.0,5.0,0.0,top
D116,115.0,40.0,270.0,top
J101,80,95.12,180.0,top
J102,141.5,92.6,0.0,top
R101,78.2,87.6,0.0,top
R102,83.0,75.0,180.0,top
R103,45.0,37.0,90.0,top
R104,83.0,65.0,180.0,top
R105,55.0,37.0,90.0,top
R106,83.0,55.0,180.0,top
R107,65.0,37.0,90.0,top
R108,83.0,45.0,180.0,top
R109,75.0,37.0,90.0,top
R110,83.0,35.0,180.0,top
R111,85.0,37.0,90.0,top
R112,83.0,25.0,180.0,top
R113,95.0,37.0,90.0,top
R114,83.0,15.0,180.0,top
R115,105.0,37.0,90.0,top
R116,83.0,5.0,180.0,top
R117,115.0,37.0,90.0,top
SW101,125.0,60.0,90.0,top
J201,57.23,87.5,90.0,top
J202,39.45,96.39,0.0,top
J203,39.45,78.61,0.0,top
J204,110.5,95.62,0.0,top
J205,110.5,80.38,0.0,top
